ASX code,Company name,Listing date,GICs industry group,Market Cap
GO2,THE GO2 PEOPLE LTD,31/10/17,Commercial & Professional Services,15947812
GOO,GOOROO VENTURES LIMITED,19/10/16,Software & Services,N/A
GOR,GOLD ROAD RESOURCES LIMITED,4/7/06,Materials,1206806474
GOW,GOWING BROS LIMITED,31/7/62,Diversified Financials,130308709
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,4/7/07,Real Estate,3010302344
GPR,GEOPACIFIC RESOURCES LTD,9/5/06,Materials,188215923
GPS,GPS ALLIANCE HOLDINGS LIMITED,2/7/13,Real Estate,4836306
GPT,GPT GROUP,1/4/71,Real Estate,9050808666
GRL,GODOLPHIN RESOURCES LIMITED,18/12/19,Materials,14719341
GRR,GRANGE RESOURCES LIMITED.,27/3/86,Materials,931657652
GRV,GREENVALE MINING LTD,28/7/71,Energy,145759586
GSM,GOLDEN STATE MINING LIMITED,8/11/18,Materials,14480963
GSN,GREAT SOUTHERN MINING LIMITED,14/4/11,Materials,24116082
GSS,GENETIC SIGNATURES LIMITED,31/3/15,"Pharmaceuticals, Biotechnology & Life Sciences",196497463
GTE,GREAT WESTERN EXPLORATION LIMITED.,5/6/07,Materials,21791699
GTG,GENETIC TECHNOLOGIES LIMITED,30/7/87,"Pharmaceuticals, Biotechnology & Life Sciences",72133814
GTI,GRATIFII LIMITED,17/7/08,Software & Services,18312753
GTK,GENTRACK GROUP LIMITED,25/6/14,Software & Services,189398072
GTN,GTN LIMITED,1/6/16,Media & Entertainment,90417197
GTR,GTI RESOURCES LIMITED,10/8/07,Materials,14823914
GUD,G.U.D. HOLDINGS LIMITED,30/6/62,Automobiles & Components,1069896694
GUL,GULLEWA LIMITED,19/6/80,Materials,14954594
GVF,GLOBAL VALUE FUND LIMITED,21/7/14,Not Applic,199812044
GWA,GWA GROUP LIMITED.,20/5/93,Capital Goods,737270214
GWR,GWR GROUP LIMITED,24/12/04,Materials,128684238
GXY,GALAXY RESOURCES LIMITED,6/2/07,Materials,2108642349
HAS,HASTINGS TECHNOLOGY METALS LTD,20/2/08,Materials,295537395
HAV,HAVILAH RESOURCES LIMITED,21/3/02,Materials,67380990
HAW,HAWTHORN RESOURCES LIMITED,3/7/86,Materials,16675781
HCD,HYDROCARBON DYNAMICS LIMITED,21/4/06,Energy,6604352
HCH,HOT CHILI LIMITED,3/5/10,Materials,115003264
HCT,HOLISTA COLLTECH LIMITED,26/2/04,Household & Personal Products,15144200
HDN,HOMECO DAILY NEEDS REIT,23/11/20,Real Estate,1114751512
HE8,HELIOS ENERGY LTD,20/10/10,Energy,264176640
HFR,HIGHFIELD RESOURCES LIMITED,7/2/12,Materials,207648108
HFY,HUBIFY LIMITED,12/1/17,Telecommunication Services,40791261
HGH,HEARTLAND GROUP HOLDINGS LIMITED,1/11/18,Banks,1101500206
HGL,HUDSON INVESTMENT GROUP LIMITED,9/6/94,Real Estate,14246384
HGM,,13/2/95,Materials,
HGO,HILLGROVE RESOURCES LIMITED,22/7/94,Materials,50596347
HHI,HEALTH HOUSE INTERNATIONAL LIMITED,28/7/11,Health Care Equipment & Services,22242447
HHM,HAMPTON HILL MINING NL,10/5/94,Materials,N/A
HHR,HARTSHEAD RESOURCES NL,14/2/12,Energy,29596354
HHY,HHY FUND,11/4/05,Not Applic,N/A
HIL,HILLS LIMITED,30/6/62,Technology Hardware & Equipment,33637901
HIQ,HITIQ LIMITED,16/6/21,Health Care Equipment & Services,25821709
HIT,HITECH GROUP AUSTRALIA LIMITED,17/4/00,Commercial & Professional Services,86190000
HLA,HEALTHIA LIMITED,11/9/18,Health Care Equipment & Services,179959839
HLO,HELLOWORLD TRAVEL LIMITED,13/9/00,Consumer Services,260446780
HLS,HEALIUS LIMITED,3/7/98,Health Care Equipment & Services,2972331555
HLX,HELIX RESOURCES LIMITED,22/5/86,Materials,32682544
HM1,HEARTS AND MINDS INVESTMENTS LIMITED,14/11/18,Not Applic,983247108
HMC,HOME CONSORTIUM,14/10/19,Real Estate,1575358567
HMD,HERAMED LIMITED,12/12/18,Health Care Equipment & Services,38981509
HMI,HIREMII LIMITED,11/5/21,Commercial & Professional Services,6444947
HMX,HAMMER METALS LIMITED,25/2/03,Materials,73214516
HMY,HARMONEY CORP LIMITED,19/11/20,Diversified Financials,226044502
HNG,HGL LIMITED,24/8/71,Capital Goods,41148791
HNR,HANNANS LTD,5/12/03,Materials,16519840
HOR,HORSESHOE METALS LIMITED,29/7/10,Materials,N/A
